measuredTime,roadStationId,id,sensorValue,timestamp,latitude,longitude,temperature,visibility,uvIndex,drivingDifficultyIndex,precip6Hour,relativeHumidity,snow6Hour,snowMtd,windSpeed,startTime,endTime
2022-02-23T22:04:12Z,23109.0,5057.0,94.0,2022-02-23 22:00:00,60.254734,25.06756,-0.3,16.09,0.0,0.0,0.0,89.5,0.0,50.6,22.0,,
2022-02-23T22:04:12Z,23109.0,5055.0,175.0,2022-02-23 22:00:00,60.254734,25.06756,-0.3,16.09,0.0,0.0,0.0,89.5,0.0,50.6,22.0,,
2022-02-23T22:04:12Z,23109.0,5067.0,6.0,2022-02-23 22:00:00,60.254734,25.06756,-0.3,16.09,0.0,0.0,0.0,89.5,0.0,50.6,22.0,,
2022-02-23T22:04:12Z,23109.0,5056.0,92.0,2022-02-23 22:00:00,60.254734,25.06756,-0.3,16.09,0.0,0.0,0.0,89.5,0.0,50.6,22.0,,
2022-02-23T22:04:12Z,23109.0,5054.0,197.0,2022-02-23 22:00:00,60.254734,25.06756,-0.3,16.09,0.0,0.0,0.0,89.5,0.0,50.6,22.0,,
2022-02-23T22:04:12Z,23109.0,5071.0,5.0,2022-02-23 22:00:00,60.254734,25.06756,-0.3,16.09,0.0,0.0,0.0,89.5,0.0,50.6,22.0,,
2022-02-23T23:02:49Z,23109.0,5057.0,94.0,2022-02-23 23:00:00,60.254734,25.06756,-0.2,12.0,0.0,0.0,0.0,90.4,0.0,50.6,25.2,,
2022-02-23T23:02:49Z,23109.0,5056.0,88.0,2022-02-23 23:00:00,60.254734,25.06756,-0.2,12.0,0.0,0.0,0.0,90.4,0.0,50.6,25.2,,
2022-02-23T23:02:49Z,23109.0,5067.0,5.0,2022-02-23 23:00:00,60.254734,25.06756,-0.2,12.0,0.0,0.0,0.0,90.4,0.0,50.6,25.2,,
2022-02-23T23:02:49Z,23109.0,5055.0,163.0,2022-02-23 23:00:00,60.254734,25.06756,-0.2,12.0,0.0,0.0,0.0,90.4,0.0,50.6,25.2,,
